name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
A-1 Skyhawk,ncd_a1skyhawk,Attacker,NCD Co,damper,1,400,100,500,500,100,,,150,75,150,200,400,8,FRONT,,180,0,0.8,,,1,1,,,,20,,2500,,,,,,,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.3,,,,,
F/A-2 Falcon,ncd_f2falcon,SEAD,NCD Co,flarelauncher_fighter,2,500,100,1000,1000,250,,,200,100,200,225,450,16,OMNI,,180,0,0.7,,,1,1,,,,15,,7500,,,,,,,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.2,,,,,
A/V-3 Harrier,ncd_av3harrier,Fighter,NCD Co,flarelauncher_active,2,450,100,800,800,250,,,160,75,150,230,460,12,OMNI,,180,0,0.75,,,1,1,,,,15,,5000,,,,,,,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.2,,,,,
F/A-4 Hornet,ncd_fa4hornet,Anti Ship,NCD Co,flarelauncher_active,4,600,100,1000,1000,250,,,180,90,180,225,450,20,OMNI,,180,0,0.7,,,1,2,,,,20,,9000,,,,,,,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protector,ncd_protectordd,Heavy Destroyer,NCD Co,ammofeed,8,5000,700,4500,4500,300,100,1,90,60,45,30,30,500,OMNI,,180,0.4,0.7,,,60,100,100,100,1.6,30,8,60000,5,12,480,0.25,12,12,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.1,,,,,
Principality,ncd_principalityddv,Aviation Destroyer,NCD Co,maneuveringjets,8,5000,500,4000,4000,250,100,2,90,60,45,30,30,500,OMNI,,180,0.5,0.7,,,80,120,80,100,1.6,30,8,65000,5,12,480,0.25,12,12,,,,,,,"RENDER_ENGINES_BELOW_HULL, CARRIER, COMBAT","merc, ind, rare_bp",0.1,,,,,
Phalanx,ncd_phalanxca,Heavy Cruiser,NCD Co,ammofeed,19,12000,1200,10000,10000,600,150,1,60,40,30,20,20,1600,OMNI,,180,0.333,0.8,,,160,300,150,150,4,37.5,8,180000,5,15,540,0.25,28,28,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.05,,,,,
Powers,ncd_powerslva,Planetary Assault Ship,NCD Co,targetingfeed,19,9000,900,7500,7500,450,150,4,60,40,30,15,20,1600,OMNI,,180,0.467,0.9,,,180,480,150,150,4,37.5,8,200000,5,15,540,0.25,24,28,,,,,,,"RENDER_ENGINES_BELOW_HULL, CARRIER, TRANSPORT","merc, ind, rare_bp",0.05,,,,,
Omega,ncd_omegabc,Battlecruiser,NCD Co,microburn,30,10000,1000,16000,16000,1050,230,1,75,60,40,10,15,2500,OMNI,,180,0.357,0.9,,,400,600,450,450,8,56.25,8,400000,5,16,660,0.25,45,45,,,,,,,RENDER_ENGINES_BELOW_HULL,"merc, ind, rare_bp",0.025,,,,,
Cherubim,ncd_cherubimcv,Fleet Carrier,NCD Co,targetingfeed,30,11000,1000,16000,16000,900,280,6,50,40,20,8,12,2800,OMNI,,180,0.2,0.8,,,450,900,500,600,12,50,8,500000,5,16,660,0.25,40,45,,,,,,,"RENDER_ENGINES_BELOW_HULL, CARRIER","merc, ind, rare_bp",0.025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASF-100 Owl,ncd_asfowl,Superfighter,NCD Co,phaseteleporter,7,2000,250,3200,3200,800,,,360,180,180,180,360,80,OMNI,,180,0,0.5,,,1,2,,,,30,,200000,,,,,,,,,,,,,,rare_bp,0.01,,,,,
ASF-102 Nosferatu,ncd_asfnosferatu,Superfighter,NCD Co,phaseteleporter,6,1000,200,2000,2000,500,,,250,125,125,250,500,45,OMNI,,180,0,0.5,,,1,1,,,,20,,100000,,,,,,,,,,,,,,rare_bp,0.05,,,,,
ASF-101 Wyvern,ncd_asfwyvern,Superfighter,NCD Co,entropyamplifier,6,1000,200,2000,2000,500,,,200,100,110,270,540,45,PHASE,phasecloak,,,,0.025,0.025,1,1,,,,40,,120000,,,,,,,,,,,,,,rare_bp,0.05,,,,,
ASF-101 Wyvern,ncd_asfwyvernr,Superfighter,NCD Co,phaseteleporter,6,1000,200,2000,2000,500,,,300,150,150,200,400,45,OMNI,,180,0,0.5,,,1,1,,,,20,,120000,,,,,,,,,,,,,,rare_bp,0.05,,,,,
