id,type,text1,text2,text3,notes
ncd_asfowl,SHIP,"The Owl is a fighter jet shrouded in secrecy and mystery. It was one of NCD Co's 'superfighters', and thus were not sold to the general public. Rumors has it that it was operated by the special forces of NCD's benefactors known as 'Arion'. Due to its combat style of beyond visual range hit and run tactics, little to no people have seen it in action in the Persean sector. It appears however that this specimen was left behind during the sudden disappearance of NCD Co, although none of its original internal systems remain. It is however still a menace, as it has been turned into a phase teleporting superfighter, capable of challenging even destroyers.",,,
ncd_asfnosferatu,SHIP,"The Nosferatu was one of the 'superfighters' operated by the NCD Corperation. In NCD operation it was used as one of the premier 'dogfighters', using its railgun and missiles to pick off enemies, while relying on its stealth to remain hidden before and after attacking. It also has excellent maneuvering owing to its thrust vectoring engines, making this a nightmare to face for fighter pilots. Due to unknown reasons, this specimen was left behind during the sudden disappearance of NCD Co, although it was stripped of almost all its internals. This however allowed it to be reffitted into a phase teleporting superfighter, allowing it to rain havoc once more.",,,
ncd_asfwyvern,SHIP,"The Wyvern was one of the 'superfighters' operated by the NCD Corperation. In NCD service it was able to extend and retract its wings, allowing it to act as both a 'dogfighter' and an interceptor, allowing it to be incredibly versatile. It and the Nosferatu share the same basic hull, giving it the same weapons payload. This specimen was recovered after the sudden disappearance of NCD Co, with its equipment stripped, leaving only the basic equipment. As such, it has been rebuilt to become a phase fighter, allowing to fight once more.",,,
ncd_asfwyvernr,SHIP,"The Wyvern was one of the 'superfighters' operated by the NCD Corperation. In NCD service it was able to extend and retract its wings, allowing it to act as both a 'dogfighter' and an interceptor, allowing it to be incredibly versatile. It and the Nosferatu share the same basic hull, giving it the same weapons payload. This specimen was recovered after the sudden disappearance of NCD Co, with its equipment stripped, leaving only the basic equipment. As such, it has been rebuilt to become a phase skimmer interceptor, allowing to fight once more.",,,
ncd_protectordd,SHIP,"The Protector was one of NCD Co's most popular ships. Favoured by everyone from civilian operators to military units, its a reliable line destroyer that can hold the line and provide fire support. Its rugged construction, advanced systems and ease of maintainance help make it a very high demand ship. Somehow, even after the disappearance of NCD Co, new Protectors are still being sold to customers, begging the question of if NCD Co ever truely left.",,,
ncd_principalityddv,SHIP,"The Principality was the carrier conversion of the Protector class Heavy Destroyer. By NCD Co standards, it is considered as a 'battlecarrier' instead of a full fledged carrier, due to only being able to operate VTOL aircraft in atmosphere. In any case, it was used quite extensively by civilians looking for a small yet reliable carrier. New Principalties are also occasionally found in the market, leaving the question of whose making them up in the air.",,,
ncd_a1skyhawk,SHIP,"The Skyhawk was the smallest and cheapest fighter offered by NCD Co. It was also one of the most popular fighters offered by NCD Co. With it being extremely survivable for its size due to its damper ability, it is excellent for keeping pressure on enemy ships. It also has an excellent armament array, with its rocket pods and missiles, allowing it to be a menace in combat. Even with the disappearance of NCD Co, new wings still pop up occasionally.",,,
ncd_f2falcon,SHIP,"The Falcon was one of the most popular fighters offered by NCD Co. Being a multirole fighter, it can do plenty of roles from anti fighter duty to anti ship. It even has the unique capability of being a SEAD fighter, jamming enemy point defenses. Due to this, numerous groups across the sector employ this fighter to great effect. It is one of the equipment that are still being 'produced', although it is unknown if it is NCD who are still producing these, or another group who have seized the blueprint.",,,
ncd_phalanxca,SHIP,"The Phalanx was the main cruiser available to customers who need either a flagship or an escort and are expecting to engage enemies. It can be anything from an effective line cruiser that protects capital ships, to a flagship that can tear ships to shreds with its spinal weapon for smaller fleets. It mainly served mercenary groups and independents, though it was occasionally used by some factions.",,,
ncd_powerslva,SHIP,"The Powers was a planetary assault ship that doubled as an effective aircraft carrier. It brings to bare 4 fighter bays, allowing smaller fleets to bring large amounts of airpower without having to maintain a capital ship. It is however quite weak and defenseless, due to its lackluster weaponary, that barely fit on it due to its massive flight deck. As such, it was used by larger factions mainly as a replacement for other planetary assault ships.",,,
